id,revol_bal,revol_util,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
92187,7274,13.10%,2822.969293,2500,322.97,2010-07-01,80.9,2010-06-01
92402,66033,23%,5698.603286,5000,698.6,2010-07-01,159.83,2014-11-01
92440,3660,6.80%,5593.631701,5000,593.63,2010-07-01,157.38,2007-06-01
92507,216,0.60%,5593.626092,5000,593.63,2010-07-01,156.29,2007-06-01
92533,27185,16.10%,5912.052998,5000,912.05,2010-07-01,165.17,2007-06-01
92552,28329,48.60%,5804.732505,5000,804.73,2010-07-01,162.07,2010-06-01
92666,60568,39.20%,5751.530533,5000,751.53,2010-07-01,161.55,2007-06-01
92676,40934,26.30%,5645.957239,5000,645.96,2010-07-01,157.31,2007-06-01
93061,8379,16.90%,5593.631701,5000,593.63,2010-07-01,157.02,2010-06-01
93277,3660,7.80%,3419.14485,3000,419.14,2010-07-01,97.45,2010-07-01
94838,0,0%,3498.858899,3000,498.86,2010-07-01,98.49,2013-02-01
96350,15840,47.10%,5912.052998,5000,912.05,2010-07-01,166.25,2012-10-01
96844,6844,14.40%,6012.561053,5300,712.56,2010-07-01,170.05,2010-07-01
98276,1321,16.50%,6069.341452,5400,669.34,2010-07-01,169.09,2013-12-01
98339,4737,23.90%,5779.031624,5100,679.03,2010-04-01,638.15,2007-06-01
98982,23489,37.60%,5725.016258,5000,725.02,2010-07-01,160.02,2010-07-01
99009,2817,10.20%,6421.743349,5750,671.74,2010-05-01,4.74,2010-04-01
100214,1783,0%,5593.634135,5000,593.63,2010-08-01,157.74,2007-06-01
101579,3534,54.40%,11662.89219,10000,1662.89,2010-07-01,328.93,2010-10-01
102376,2422,23.30%,29269.95527,25000,4269.96,2010-06-01,3.54,2010-06-01
106079,2864,41.10%,3942.013096,3500,442.01,2009-03-01,1798.54,2016-05-01
106360,3075,92.30%,3415.389823,2700,715.39,2010-07-01,96.4,2010-07-01
107136,17214,8.10%,13128.88362,12250,878.88,2008-04-01,9939.88,2007-07-01
109355,1153,75.80%,1425.37,1200,225.37,2010-07-01,39.45,2010-07-01
111227,41674,74.10%,20339.66,16077.42,4262.24,2010-02-01,678.08,2016-05-01
111307,43039,93.40%,14449.28798,12000,2449.29,2010-07-01,402.93,2010-07-01
111917,3362,69.30%,7395.962477,6400,995.96,2010-08-01,206.58,2010-07-01
112216,11868,71.90%,14361.46082,12000,2341.57,2011-03-01,239.9,2011-03-01
112245,2562,14%,5593.638527,5000,593.64,2010-08-01,158.65,2016-04-01
112323,1882,32.40%,4097.157701,3500,582.16,2010-09-01,6.57,2010-08-01
112496,1064,70.90%,3579.662273,3000,579.66,2010-08-01,101.51,2010-07-01
113156,6432,6%,3952.171178,3500,452.17,2010-08-01,110.07,2010-07-01
113179,4485,36.90%,703.95,544.02,138.64,2009-05-01,32.55,2009-10-01
113194,16310,20.50%,4063.318618,3500,563.32,2010-08-01,114.13,2010-07-01
116040,20969,40.20%,5778.087809,5000,778.09,2010-08-01,163.82,2010-08-01
116582,22213,65.90%,12260.31053,10000,2260.31,2010-08-01,343.82,2010-08-01
117056,2160,2.30%,5592.073299,5000,592.07,2010-01-01,1221.57,2010-01-01
117249,813,1%,5495.826405,5000,495.83,2009-06-01,2233.27,2009-06-01
117794,23678,24.40%,7826.508179,7500,326.51,2008-03-01,6415.65,2007-06-01
117863,11289,47.80%,9199.512831,8000,1199.51,2010-05-01,154.52,2014-02-01
118523,56411,75.30%,4054.35,2886.21,1168.14,2009-02-01,225.37,2016-05-01
118533,269,3.80%,2086.63,1730.83,354.44,2010-03-01,1.4,2016-05-01
118823,3408,35.10%,2220.61,1706.01,477.21,2010-03-01,1.76,2016-05-01
119043,6513,34.30%,11652.75,8688.59,2659.96,2009-10-01,1016.15,2010-03-01
120215,330,11%,4474.37586,4000,474.38,2010-08-01,119.24,2015-04-01
120374,5967,19.80%,2279.4299,2000,279.43,2010-08-01,64.27,2010-08-01
120525,5533,79.60%,4708.070922,4000,708.07,2010-08-01,134.78,2011-06-01
121426,21050,1%,3125.460949,3000,125.46,2008-04-01,2563.59,2007-08-01
121530,21050,0.70%,3125.435781,3000,125.44,2008-04-01,2563.55,2007-08-01
121535,8155,14.90%,3191.218575,2800,391.22,2010-09-01,89.8,2007-08-01
121568,8155,14.90%,4622.489229,4000,622.49,2010-09-01,129.76,2007-08-01
121824,3678,30.70%,3158.893661,3000,158.89,2008-05-01,2494.29,2015-01-01
122070,2040,36.20%,6446.047047,5400,1046.05,2010-04-01,1055.1,2012-01-01
122404,33074,68.80%,13813.15438,12750,1063.15,2008-04-01,11149.39,2007-08-01
122637,1918,17.10%,4495.838507,4000,495.84,2010-09-01,126.29,2010-08-01
122718,22379,62.20%,20042.61423,18500,1542.61,2008-04-01,16177.15,2011-02-01
123228,10296,42.50%,12838.44,10395.56,2442.88,2009-05-01,642.02,2016-05-01
123230,2867,55.10%,628.19,455.95,172.24,2008-03-01,104.76,2016-04-01
124436,12310,86.10%,5675.572528,4800,875.57,2010-09-01,160.09,2014-08-01
125671,61921,39.10%,13819.081,12125,1694.08,2010-09-01,385.26,2010-09-01
125897,16738,26.10%,7174.090957,6625,549.09,2008-08-01,2329.53,2015-11-01
126213,40384,9.20%,10727.30463,9500,1227.3,2010-09-01,299.36,2010-09-01
126215,1359,5.60%,5459.636223,5000,459.64,2009-05-01,143.94,2009-05-01
126287,107501,44.80%,11068.42185,10000,1068.42,2008-10-01,7110.05,2008-09-01
126392,3054,5.60%,10435.30342,10000,435.3,2008-04-01,8553.6,2007-08-01
126776,40384,9.60%,10727.30463,9500,1227.3,2010-10-01,305.23,2010-09-01
126788,128000,0%,8104.154188,7500,604.15,2008-09-01,5468.54,2008-08-01
127213,4709,18.50%,2219.432551,2000,219.43,2010-04-01,3.06,2010-04-01
127353,2850,75%,3381.645272,2850,531.65,2010-04-01,9.29,2010-04-01
127472,51,0%,2580.248838,943.58,382.27,2009-03-01,73.68,2016-05-01
127504,37152,3.70%,11291.91405,10000,1291.92,2010-11-01,317.43,2010-11-01
127531,3839,16.60%,19555.18587,17000,2555.19,2010-09-01,545.37,2015-11-01
127719,37152,3.70%,11291.91956,10000,1291.92,2010-11-01,323.55,2010-11-01
127830,26283,39.50%,7294.65,5717.45,1474.29,2009-12-01,266.37,2010-05-01
128635,5607,42.20%,7648.052287,6500,1088.05,2010-10-01,188.8,2012-04-01
128881,1061,81.90%,8570.680502,7000,1540.68,2010-11-01,126.36,2010-10-01
129745,56740,77.50%,11663.55831,10000,1663.56,2010-10-01,327.94,2010-09-01
130512,40598,77.30%,8192.665786,7250,942.67,2009-05-01,3946.77,2010-03-01
130735,3815,6.50%,11444.36549,10250,1194.37,2008-09-01,7924.41,2008-08-01
130907,0,0%,4191.717919,3775,416.72,2010-08-01,9.7,2016-03-01
130986,50,0.30%,2338.44735,2100,238.45,2010-10-01,69.15,2010-12-01
131223,4569,56.40%,25188.82338,20000,5188.82,2010-10-01,707.68,2010-09-01
131387,8528,86.10%,7029.69413,6000,1029.69,2010-10-01,198.8,2010-09-01
131618,14345,45.80%,10641.12426,9000,1641.12,2010-10-01,298.04,2013-03-01
131649,113,2.40%,7833.037378,6625,1208.04,2010-10-01,219.63,2010-09-01
131782,12231,81%,6138,4386.34,1601.56,2009-12-01,50.09,2010-05-01
132062,13552,69.10%,8943.420138,7200,1743.42,2010-10-01,252.65,2016-04-01
132172,16813,63.90%,6939.838576,6000,939.84,2010-02-01,1692.37,2010-02-01
132892,26233,62.90%,4015.96,1496.83,609.26,2008-05-01,301.05,2016-05-01
132946,5760,16%,5900.951139,5275,625.95,2010-10-01,172.42,2010-10-01
133301,105,35%,4073.98,2938.05,676.44,2009-10-01,150.66,2016-05-01
133685,11490,95.70%,7762.02533,6625,1137.03,2010-02-01,1888.34,2010-03-01
134436,17641,30.50%,3068.020133,2525,543.02,2010-10-01,89.89,2015-08-01
135201,0,0%,10273.97249,10000,273.97,2008-01-01,9617.25,2007-09-01
135594,12430,19.20%,5504.771552,5275,229.77,2008-05-01,4512.61,2007-09-01
136226,12323,44%,5035.12991,4300,735.13,2010-04-01,964.01,2016-05-01
136316,38624,97.80%,3515.867902,3025,490.87,2010-05-01,576.99,2016-05-01
136491,875,54.70%,2477.03,1756.71,574.25,2009-07-01,333.29,2015-03-01
136634,1196,12%,10235.30514,8500,1735.31,2010-10-01,289.62,2010-10-01
137042,26628,60.40%,6989.312454,5650,1339.31,2010-10-01,203.82,2010-10-01
137106,6752,24.60%,4382.295761,4275,107.3,2008-01-01,4105.9,2007-10-01
137271,458,91.60%,2313.97,400.45,160.03,2008-06-01,70.25,2016-05-01
137965,16786,44.70%,9013.504593,8000,1013.5,2010-02-01,2222.28,2011-01-01
138557,7336,29.90%,9474.504091,8275,1199.5,2010-10-01,265.32,2010-10-01
138568,7089,41.90%,3767.310996,3275,492.31,2010-10-01,114.05,2010-10-01
139057,18388,68.90%,6207.582068,5500,707.58,2010-09-01,12.81,2010-09-01
139657,613,76.60%,1393.109735,1200,193.11,2010-11-01,40.85,2013-07-01
139790,566,51.50%,3597.734061,1956.75,545,2009-12-01,100.35,2016-05-01
139968,9166,50.40%,12074.02691,10000,2074.03,2010-07-01,1333.8,2012-04-01
139980,5406,33.40%,4820.71,3891.56,844.02,2010-03-01,163.49,2010-08-01
140036,1188,3%,868.81,719.9,148.91,2010-01-01,32.25,2016-05-01
140452,12003,40.40%,3528.643953,3000,483.65,2010-10-01,108.86,2010-10-01
140561,20511,62%,520.03,323.55,110.68,2008-05-01,72.42,2009-01-01
140687,55720,10%,3264.399986,2825,439.4,2010-11-01,96.65,2016-05-01
140900,7744,17.10%,8539.466798,8275,264.47,2008-04-01,7501.59,2007-10-01
141041,51761,38%,6095.488269,5275,820.49,2010-11-01,171.85,2010-10-01
141676,579,23.20%,6890.119612,6225,665.12,2008-12-01,4427.01,2015-09-01
141774,34776,54.30%,1605.3,1028.79,427.59,2008-08-01,162.01,2016-05-01
142281,8047,33.80%,7850.413498,7000,850.41,2009-05-01,3995.3,2016-04-01
142608,0,0%,5931.806949,5000,826.81,2010-10-01,490.01,2010-09-01
142618,409,81.80%,5701.515761,4800,901.52,2010-11-01,162.23,2010-10-01
142734,185,0.50%,27752.44158,25000,2752.44,2009-06-01,13442.6,2009-06-01
142790,48251,50.10%,5664.122277,4925,739.12,2010-06-01,665.84,2016-05-01
143102,772,96.50%,3499.046563,3000,499.05,2010-11-01,98.93,2010-11-01
143128,1019,4.50%,9504.997523,8000,1505,2010-11-01,273.47,2016-04-01
143566,8332,39.90%,14566.08622,12375,2191.09,2010-11-01,405.99,2010-10-01
144579,1790,4.50%,10461.78715,9850,611.79,2008-10-01,7387.64,2008-10-01
144635,62739,74.70%,9239.37,6646.07,2583.15,2008-10-01,839.95,2016-05-01
146564,29901,71.20%,8094.3,6700.52,1372.48,2010-05-01,553.62,2016-05-01
146641,5867,74.30%,8231.777527,8000,231.78,2008-02-01,7703.28,2007-10-01
146671,10605,22.10%,26131.73499,25000,1131.73,2008-05-01,22120.23,2009-08-01
146844,57196,44.50%,12699.13,6316.3,4640.67,2011-12-01,100.2,2011-12-01
148473,481,80.20%,4484.82,3239.25,893.7,2009-07-01,500.11,2011-01-01
149575,2282,19%,11121.68928,10000,1121.69,2009-10-01,19.94,2009-10-01
149754,3614,61.30%,4708.201721,3999.99,708.21,2010-11-01,135.81,2016-05-01
150940,14930,79%,8174.02191,7000,1174.02,2010-05-01,1571.29,2016-04-01
151587,33989,82.90%,22759.93342,19950,2809.93,2009-11-01,7966.24,2009-11-01
151607,1238,61.90%,1664.724606,1500,164.72,2008-09-01,1199.4,2008-08-01
151621,4746,18.50%,20609.24655,18000,2609.25,2010-11-01,574.81,2010-11-01
152291,3470,25.50%,5395.041887,4800,595.04,2010-11-01,151.64,2010-11-01
152663,12640,83.20%,3161.605037,3000,161.61,2008-06-01,2581.97,2008-01-01
153022,368,1.20%,3339.035809,3000,339.04,2010-10-01,11.71,2010-10-01
153054,30597,89.50%,6690.131289,5875,815.13,2009-07-01,3044.55,2009-08-01
153235,8537,75.50%,21380.72297,18000,3380.72,2010-11-01,597.57,2011-10-01
153434,15649,54.50%,14204.69083,11999.99,2165.46,2010-11-01,306.13,2011-08-01
154141,4067,7.30%,5417.794338,5000,417.79,2009-03-01,3076.88,2010-12-01
154154,5836,68.70%,5134.085288,4800,334.09,2008-08-01,3891.08,2008-08-01
154286,24615,94.70%,17586.45199,15000,2586.45,2011-03-01,573.03,2011-02-01
154305,7600,71.70%,4198.854301,3599.99,598.86,2010-11-01,117.97,2011-01-01
154776,9495,87.90%,2009.43,1492.33,517.1,2008-08-01,223.34,2015-03-01
155780,4921,30.40%,5162.394223,4800,362.39,2009-01-01,3214.98,2009-01-01
156021,11200,23.20%,7775.636871,6400,1375.64,2012-04-01,73.03,2012-03-01
156417,2444,5.60%,6208.942922,6000,208.94,2008-06-01,5278.09,2013-09-01
156868,916,6.80%,28482.75432,24750,3732.75,2011-01-01,812.73,2010-12-01
157169,148829,6.60%,10361.33,8260.95,2100.38,2008-12-01,821.25,2016-05-01
157768,3209,12.60%,4559.031276,3999.99,559.04,2010-12-01,128.06,2011-02-01
158289,7570,82.30%,10593.50755,9000,1593.51,2010-12-01,297.22,2016-04-01
158706,13126,96.50%,14370.92225,12375,1995.92,2010-02-01,4259.11,2014-05-01
159468,66654,51.60%,13399.12782,12000,1399.13,2009-02-01,8231.59,2009-02-01
159665,50,0.30%,6432.31679,5750,682.32,2010-12-01,183.83,2010-12-01
159713,3084,65.60%,986.55,804.23,143.67,2011-05-01,29.16,2016-05-01
161187,2598,23.80%,14773.99102,12950,1823.99,2009-12-01,5171.89,2009-12-01
163627,18168,68.50%,4686.458561,4000,686.46,2010-12-01,134.37,2013-02-01
163758,24218,85.30%,3547.037137,2999.99,547.05,2010-12-01,99.15,2010-12-01
164346,0,0%,565.0251577,500,65.03,2010-12-01,33.16,2015-11-01
164741,72303,73.70%,18832.94253,16000,2832.95,2010-12-01,526.15,2010-12-01
164792,1032,5%,18920.57192,17600,1320.57,2008-12-01,12791.64,2008-12-01
166437,133,4.20%,11289.55269,9600,1689.55,2010-08-01,116.25,2016-04-01
166534,34023,57.70%,8877.15,6435.58,2009.86,2009-04-01,527.93,2009-12-01
166546,12430,29.60%,3135.507949,3000,135.51,2008-08-01,2483.36,2009-12-01
166683,10742,8.90%,7305.786154,6499.99,805.8,2010-12-01,204.6,2014-05-01
166747,2197,75.80%,2831.89,1997.01,653.65,2009-04-01,707.96,2009-12-01
167189,88,23.80%,1587.33,1213.7,373.63,2008-10-01,158.76,2016-05-01
167205,13867,33.70%,17495.30684,15000,2495.31,2010-12-01,490.65,2011-02-01
167584,3943,98.60%,4514,3494.37,1019.63,2009-02-01,322.49,2016-02-01
167645,5405,40%,6778.258742,6000,778.26,2010-04-01,3.94,2015-07-01
167846,12102,49%,13441.00357,11300,2141,2010-06-01,7.17,2010-06-01
168100,18076,81.40%,21557.49245,17999.99,3557.5,2010-11-01,5.19,2010-11-01
168190,4504,39.20%,2529.27,1901,596.19,2009-08-01,132.35,2016-05-01
168222,25852,60.50%,27392.2032,25000,2392.2,2008-11-01,19106.22,2008-10-01
169044,32438,43%,21805.83242,18499.99,3275.6,2011-01-01,636.34,2010-12-01
169254,20380,48.10%,18867.74967,17000,1867.75,2009-08-01,8642.19,2016-05-01
169354,38054,61.20%,5894.49,5400,494.49,2009-02-01,3654.23,2009-02-01
169453,25,0.20%,20479.9813,18500,1979.98,2009-02-01,12618,2014-03-01
169525,3305,55.10%,10478.72198,9000,1448.73,2011-01-01,1.46,2011-01-01
169793,348,4.80%,7894.73,5558.08,1865,2009-02-01,530.36,2009-11-01
170488,3015,25.30%,5681.902201,5000,681.9,2010-07-01,933.83,2010-07-01
170528,7336,71.90%,14059.38537,12000,2059.39,2010-12-01,393.41,2016-02-01
170929,8644,72.60%,10042.83051,9000,1042.83,2009-01-01,6432.48,2012-12-01
171220,93,0%,18930.34,4882.92,2283.17,2009-03-01,200.01,2016-05-01
171298,2698,9.50%,7830.665691,7000,830.67,2010-12-01,225.5,2010-12-01
172644,19009,30%,13996.25553,12000,1996.26,2010-12-01,391.12,2011-11-01
172802,498,7.30%,5698.810312,5000,698.81,2010-12-01,159.37,2016-04-01
173029,10358,91.70%,8311.84,6335.33,1829.62,2010-04-01,416.62,2010-09-01
173981,2105,45.30%,3701.247745,3200,501.25,2010-04-01,902.55,2014-07-01
174377,2822,9.90%,5480.64559,4800,680.65,2010-02-01,1631.54,2010-02-01
175056,21004,97.70%,23067.26757,20000,3067.27,2010-01-01,7446.74,2014-06-01
175147,11675,75.80%,2942.427533,2400,542.43,2010-12-01,85.43,2016-05-01
175193,3933,43.70%,8587.161956,7500,1087.16,2010-12-01,242.56,2010-12-01
175582,7251,80.60%,12060.06736,10000,2060.07,2010-08-01,1649.16,2016-05-01
176062,88,44%,931.5,678.15,253.35,2008-10-01,93.23,2016-05-01
176206,1492,33.20%,3450.932223,3000,450.93,2010-12-01,100.22,2011-05-01
176610,7121,33.70%,3453.794808,2975,478.8,2010-12-01,98.46,2010-12-01
176942,17641,69.50%,19576.92009,16500,3076.92,2010-03-01,1950.71,2010-04-01
176995,30946,61.50%,12770.59,8471.54,3553.14,2009-02-01,859.07,2009-12-01
177075,0,0%,17016.46038,15000,2016.46,2010-12-01,482.31,2015-08-01
177259,23391,90.70%,19760.82237,17950,1810.82,2009-01-01,12719.24,2009-01-01
177913,16324,48%,7930.939209,7000,930.94,2009-11-01,2988.95,2009-11-01
178157,7104,93.50%,5511.15,2812.13,2024.47,2009-10-01,50.03,2010-02-01
178236,9273,43.90%,14193.34884,12000,2173.37,2010-02-01,4185.78,2010-11-01
178239,6718,94.60%,8353.107275,6999.99,1353.11,2010-12-01,236.06,2015-09-01
178977,12017,12.10%,7221.69,5591.61,1630.08,2008-10-01,802.47,2016-05-01
179020,5749,43.20%,10976.02508,9325,1651.03,2010-12-01,307.06,2010-12-01
179897,6530,21.80%,30103.87502,25000,5103.88,2010-12-01,837.68,2010-12-01
180005,2666,12.10%,4444.32909,4000,444.33,2010-01-01,1448.33,2013-02-01
180535,3761,55.40%,4082.244935,3500,582.24,2010-12-01,113.99,2010-12-01
180614,33698,91.30%,30328.54577,24625,5703.55,2010-12-01,845.47,2016-05-01
180675,3472,4.50%,13650.38,8767.32,2675.41,2009-03-01,817.41,2016-05-01
180712,14534,48.90%,15179.28358,12000,3179.28,2010-12-01,435.85,2010-12-01
181036,6703,47.50%,20705.86129,18000,2705.86,2010-12-01,580.97,2010-12-01
181590,5861,53.80%,14580.70226,12000,2580.7,2010-12-01,407.18,2010-12-01
181701,5061,72.30%,5914.503029,5000,914.5,2009-12-01,2054.79,2010-02-01
182089,16888,39.50%,24379.7862,21000,3379.79,2010-12-01,678.74,2015-12-01
182554,463,92.60%,4747.534251,3999.99,747.54,2010-11-01,15.13,2016-03-01
182589,0,0%,10131.52284,8800,1316.52,2010-11-01,11.4,2010-11-01
182845,8283,12.70%,26630.20565,25000,1630.21,2008-09-01,20210.86,2013-11-01
183801,46525,93.60%,18185.5444,15450,2735.55,2010-12-01,506.84,2015-11-01
183936,2650,6.60%,6413.832389,5800,613.83,2010-04-01,253.09,2010-04-01
184296,17,0.10%,12982.48,10210.53,2771.95,2009-06-01,898.85,2016-05-01
184562,827,6.60%,2609.48,1732.25,504.18,2008-07-01,319.54,2009-01-01
184908,961,26%,1170.657129,999.99,155.66,2011-01-01,1.43,2011-01-01
185352,1554,29.30%,6933.194512,5999.99,933.21,2010-12-01,193.55,2010-12-01
185684,10753,52.30%,14318.87,10005.99,3756,2009-07-01,764.64,2015-07-01
186499,2227,3.80%,1110.813028,1000,110.81,2010-08-01,185.8,NULL
186572,7606,18.60%,12347.21988,12000,347.22,2008-05-01,11202.55,2015-10-01
186652,8355,34.40%,10817.03,5058.01,1803.72,2010-05-01,200.22,2016-05-01
186840,27293,86.60%,24740.98049,20000,4740.98,2010-12-01,693.79,2010-12-01
187464,10157,26.20%,11555.4033,10000,1555.4,2010-12-01,325.23,2010-12-01
187671,4209,75.20%,8654.61,5262.41,2503.24,2008-10-01,862.97,2009-10-01
188937,0,0%,8110.596545,8000,110.6,2008-04-01,609.58,2011-02-01
189379,1773,5%,2912.210708,2800,112.21,2008-08-01,2391.23,2008-07-01
190811,949,55.80%,1111.46,886.3,174.5,2009-06-01,62.45,2016-05-01
190846,12308,43.60%,7661.88,5323.38,2338.5,2008-10-01,851.41,2016-05-01
191006,7914,30.80%,8802.18,7500,1302.18,2011-01-01,236.1,2010-12-01
191730,9150,96.30%,24740.97669,19999.99,4740.98,2011-01-01,697.12,2014-07-01
192239,21777,53.70%,22583.26677,20000,2583.27,2009-07-01,9417.16,2010-03-01
192299,4281,63%,19362.44821,16000,3335.57,2010-11-01,1602.87,2014-11-01
192311,4475,63%,10994.76631,10000,994.77,2009-04-01,6502.24,2009-06-01
192616,25413,45.20%,13865.29434,12000,1865.29,2010-07-01,2645.13,2015-02-01
193452,15043,65.20%,11344.30276,10000,1344.3,2011-01-01,331.48,2016-03-01
193586,6353,39.50%,10544.50197,8999.99,1544.51,2011-01-01,294.86,2013-03-01
193630,3737,55.80%,4442.805382,4000,442.81,2009-12-01,1685.2,2009-11-01
194565,11370,41.60%,13800.92888,12000,1800.93,2010-12-01,771.89,2011-11-01
194762,18403,73.30%,17924.18663,15450,2474.19,2009-07-01,9021.97,2009-07-01
195618,19504,77.30%,7103.957781,6000,1103.96,2010-05-01,4.12,2010-05-01
195655,10463,8.20%,20705.85042,17999.99,2705.86,2011-01-01,578.4,2012-06-01
196027,2808,51.10%,3432.784025,3000,432.78,2010-12-01,5.95,2010-12-01
196148,6297,14.50%,17163.96246,15000,2163.96,2010-10-01,1902.2,2010-10-01
196380,33060,21.70%,12246.55873,11000,1246.56,2010-02-01,9.87,2010-02-01
196428,4500,13%,3793.02,2282.72,664.82,2009-08-01,155.19,2016-05-01
196521,2344,9.80%,21710.02702,20000,1710.03,2009-06-01,2860.41,2009-06-01
196559,2907,4%,3335.229263,3000,335.23,2010-10-01,9.61,2010-10-01
196574,26218,28.70%,10959.49476,9500,1459.49,2010-06-01,2383.46,2010-06-01
196863,5967,25.50%,5158.918623,4350,808.92,2010-11-01,10.36,2011-04-01
196910,27786,85.50%,7509.82,6233.81,1276.01,2010-03-01,288.89,2016-05-01
197019,27786,85.50%,2092.44,1650.22,367.25,2009-12-01,100.22,2016-05-01
197225,7335,45.80%,13783.56639,12000,1745.41,2011-01-01,770.54,2016-05-01
197360,0,0%,7094.10262,6000,1094.1,2011-01-01,198.7,2016-04-01
197558,19210,48.30%,3020.761194,2675,345.76,2011-01-01,84.87,2011-01-01
197959,11601,85.90%,17333.13847,15000,2333.14,2011-01-01,484.25,2016-05-01
198285,991,34.20%,9167.490701,7850,1257.49,2010-11-01,18.67,2010-11-01
198952,141287,9.40%,2573.52762,2500,73.53,2008-06-01,2263.15,2008-08-01
199055,199,1.10%,3491.952643,3000,491.95,2011-01-01,98.84,2016-05-01
199486,63580,80.60%,3936.06,2827.31,876.19,2009-05-01,325.38,2009-10-01
199575,773,4.80%,4095.399215,4000,95.4,2008-05-01,3722.88,2007-12-01
199889,1042,37.20%,2390.717595,2000,390.72,2010-08-01,77.64,2014-07-01
200256,137,3.20%,13842.17,11197.58,2604.04,2010-11-01,406.07,2011-04-01
200600,1944,47.40%,8690.585118,7500,1190.59,2011-01-01,247.31,2016-05-01
200805,16613,18.30%,1878.56,1186.39,519.21,2008-11-01,170.72,2009-10-01
200886,0,0%,10578.56423,9325,1253.56,2011-01-01,300.6,2011-01-01
200912,5181,97.80%,11495.17317,9400,2080.17,2011-03-01,204.17,2011-03-01
201285,597,14.20%,2296.2633,2000,296.27,2011-01-01,75.48,2013-11-01
201479,3202,1.10%,7830.662309,7000,830.66,2011-01-01,228.16,2011-01-01
201909,46086,92.70%,24038.21873,20000,4038.22,2011-01-01,671.6,2015-11-01
202270,9380,44.10%,1084.63,665.76,267.67,2008-08-01,133.55,2016-04-01
202379,35944,56.20%,15160.90083,13025,2135.9,2011-01-01,424.78,2011-01-01
202406,0,0%,12237.55048,9999.99,2237.56,2011-01-01,347.92,2016-04-01
202712,7973,89.60%,13158.27006,11200,1958.27,2011-01-01,370.09,2011-01-01
202720,8522,21.70%,10741.74719,10000,741.75,2009-02-01,6980.96,2009-02-01
203367,62976,86.10%,31565.86822,25000,6565.87,2011-01-01,894.15,2011-01-01
